country,id,latitude,longitude,name,population,geometry
SDN,276.0,13.18329,30.2167,El Obeid,393311.0,POINT (30.2167 13.18329)
NLD,277.0,52.08004,4.26996,The Hague,1406000.0,POINT (4.26996 52.08004)
NOR,278.0,58.16664,8.00002,Kristiansand,63814.0,POINT (8.00002 58.16664)
SVN,279.0,46.05529,14.51497,Ljubljana,314807.0,POINT (14.51497 46.05529)
SVK,280.0,48.15002,17.11698,Bratislava,423737.0,POINT (17.11698 48.15002)
NOR,281.0,70.66128,23.688,Hammerfest,10000.0,POINT (23.688 70.66128)
QAT,282.0,25.28656,51.53297,Doha,1450000.0,POINT (51.53297 25.28656)
PAK,283.0,30.22,67.02499,Quetta,768000.0,POINT (67.02499 30.22)
PAK,284.0,27.56177,68.20678,Larkana,364033.0,POINT (68.20678 27.56177)
ZAF,285.0,-29.66673,17.88329,Springbok,10438.0,POINT (17.88329 -29.66673)
ZAF,286.0,-28.46003,21.23001,Upington,71373.0,POINT (21.23001 -28.46003)
ZAF,287.0,-33.64003,19.43994,Worcester,127597.0,POINT (19.43994 -33.64003)
ZAF,288.0,-33.95003,22.45004,George,174582.0,POINT (22.45004 -33.95003)
MOZ,289.0,-16.17003,33.58001,Tete,129316.0,POINT (33.58001 -16.17003)
MOZ,290.0,-12.98305,40.53235,Pemba,110643.0,POINT (40.53235 -12.98305)
MOZ,291.0,-15.13604,39.29304,Nampula,388526.0,POINT (39.29304 -15.13604)
ZAF,292.0,-27.96999,26.72999,Welkom,431944.0,POINT (26.72999 -27.96999)
MOZ,293.0,-25.03998,33.64,Xai-Xai,128805.0,POINT (33.64 -25.03998)
PNG,294.0,-6.08331,145.38548,Goroka,39699.0,POINT (145.38548 -6.08331)
PNG,295.0,-5.86322,144.21682,Mt. Hagen,59064.0,POINT (144.21682 -5.86322)
PNG,296.0,-4.20549,152.14343,Rabaul,8074.0,POINT (152.14343 -4.20549)
PNG,297.0,-6.73299,146.99004,Lae,131052.0,POINT (146.99004 -6.73299)
PAN,298.0,8.43332,-82.43333,David,110037.0,POINT (-82.43333 8.43332)
MAR,299.0,34.69001,-1.90997,Oujda,409391.0,POINT (-1.90997 34.69001)
MAR,300.0,32.31998,-9.23999,Safi,353476.0,POINT (-9.23999 32.31998)
MNE,301.0,42.46597,19.26631,Podgorica,145850.0,POINT (19.26631 42.46597)
MOZ,302.0,-17.88001,36.88999,Quelimane,188964.0,POINT (36.88999 -17.88001)
ZAF,303.0,-32.97004,27.87002,East London,338627.0,POINT (27.87002 -32.97004)
ZAF,304.0,-31.5,25.00999,Middelburg,18164.0,POINT (25.00999 -31.5)
RUS,305.0,43.49811,43.61795,Naltchik,307866.0,POINT (43.61795 43.49811)
RUS,306.0,45.05,41.98001,Stavropol,363064.0,POINT (41.98001 45.05)
RUS,307.0,64.7333,177.7,Ugolnye Kopi,3367.0,POINT (177.7 64.7333)
RUS,308.0,54.70001,20.49734,Kaliningrad,434954.0,POINT (20.49734 54.70001)
RUS,309.0,57.83,28.32994,Pskov,201990.0,POINT (28.32994 57.83)
RUS,310.0,53.25999,34.42998,Bryansk,427236.0,POINT (34.42998 53.25999)
